,city,REGION
213,nanchang,ASIA
214,baicheng,ASIA
215,seattle,NORTH AMERICA
216,ibadan,AFRICA
217,jiaozuo,ASIA
218,nādampālaiyam,ASIA
219,deyang,ASIA
220,busan,ASIA
221,hechi,ASIA
222,tangshan,ASIA
223,lucknow,ASIA
224,san francisco,NORTH AMERICA
225,boankra,AFRICA
226,dubai,ASIA
227,anshan,ASIA
228,guozhen,ASIA
229,baojishi,ASIA
230,qinzhou,ASIA
231,guiyang,ASIA
232,wuxi,ASIA
233,kannankulam,ASIA
234,caracas,SOUTH AMERICA
235,kotla qasim khan,ASIA
236,casablanca,AFRICA
237,hanzhong,ASIA
238,shiyan,ASIA
239,guang’an,ASIA
240,faisalabad,ASIA
241,changzhi,ASIA
242,tongren,ASIA
243,bengbu,ASIA
244,leshan,ASIA
245,santa cruz de la sierra,SOUTH AMERICA
246,neijiang,ASIA
247,zhenjiang,ASIA
248,qinhuangdao,ASIA
249,bursa,ASIA
250,tashkent,ASIA
251,guayaquil,SOUTH AMERICA
252,jaipur,ASIA
253,lanzhou,ASIA
254,ouagadougou,AFRICA
255,athens,EUROPE
256,san diego,NORTH AMERICA
257,guatemala city,NORTH AMERICA
258,kuwait city,ASIA
259,qincheng,ASIA
260,i̇zmir,ASIA
261,quezon city,ASIA
262,kyiv,EUROPE
263,kottārasshēri,ASIA
264,meishan,ASIA
265,incheon,ASIA
266,ningde,ASIA
267,zhongshan,ASIA
268,minneapolis,NORTH AMERICA
269,tampa,NORTH AMERICA
270,putian,ASIA
271,mbuji-mayi,AFRICA
272,tongliao,ASIA
273,chaoyang,ASIA
274,hohhot,ASIA
275,pyongyang,ASIA
276,shaoguan,ASIA
277,taichung,ASIA
278,cali,SOUTH AMERICA
279,heyuan,ASIA
280,wuzhou,ASIA
281,pretoria,AFRICA
282,suining,ASIA
283,omdurman,AFRICA
284,weihai,ASIA
285,rizhao,ASIA
286,malang,ASIA
287,stuttgart,EUROPE
288,daqing,ASIA
289,rome,EUROPE
290,kaohsiung,ASIA
291,brooklyn,NORTH AMERICA
292,xiangtan,ASIA
293,bazhou,ASIA
294,handan,ASIA
295,brisbane,OCEANIA
296,jinzhou,ASIA
297,denver,NORTH AMERICA
298,xinzhou,ASIA
299,nanping,ASIA
300,gāzipura,ASIA
301,shanwei,ASIA
302,maracaibo,SOUTH AMERICA
303,chaozhou,ASIA
304,baotou,ASIA
305,longyan,ASIA
306,weifang,ASIA
307,huai’an,ASIA
308,zibo,ASIA
309,attadappa,ASIA
310,munich,EUROPE
311,gulou,ASIA
312,birmingham,EUROPE
313,valencia,SOUTH AMERICA
314,damascus,ASIA
315,chattogram,ASIA
316,brazzaville,AFRICA
317,yangjiang,ASIA
318,sanaa,ASIA
319,barmhān kalān,ASIA
320,medellín,SOUTH AMERICA
321,dingxi,ASIA
322,shaoxing,ASIA
323,yantai,ASIA
324,huizhou,ASIA
325,xuanzhou,ASIA
326,mirzāpur,ASIA
327,hamburg,EUROPE
328,taipei,ASIA
329,ankang,ASIA
330,zigong,ASIA
331,sanming,ASIA
332,toluca,NORTH AMERICA
333,huangshi,ASIA
334,yaoundé,AFRICA
335,zhuhai,ASIA
336,huludao,ASIA
337,baoshan,ASIA
338,mecca,ASIA
339,vancouver,NORTH AMERICA
340,lianshan,ASIA
341,beirut,ASIA
342,salvador,SOUTH AMERICA
343,bucharest,EUROPE
344,longba,ASIA
345,nāgpur,ASIA
346,queens,NORTH AMERICA
347,tieling,ASIA
348,yunfu,ASIA
349,bekasi,ASIA
350,daegu,ASIA
351,ghāziābād,ASIA
352,luoyang,ASIA
353,luohe,ASIA
354,algiers,AFRICA
355,anshun,ASIA
356,huainan,ASIA
357,depok,ASIA
358,konya,ASIA
359,haiphong,ASIA
360,yanjiang,ASIA
361,guangyuan,ASIA
362,baku,ASIA
363,yingkou,ASIA
364,mudanjiang,ASIA
365,riverside,NORTH AMERICA
366,fukuoka,ASIA
367,nantong,ASIA
368,lincang,ASIA
369,las vegas,NORTH AMERICA
370,haikou,ASIA
371,yuxi,ASIA
372,tangerang,ASIA
373,supaul,ASIA
374,almaty,ASIA
375,vienna,EUROPE
376,eşfahān,ASIA
377,xining,ASIA
378,jincheng,ASIA
379,baltimore,NORTH AMERICA
380,dandong,ASIA
381,yan’an,ASIA
382,qinbaling,ASIA
383,gaoping,ASIA
384,awka,AFRICA
385,taizhou,ASIA
386,ma’anshan,ASIA
387,jiamusi,ASIA
388,perth,OCEANIA
389,gaziantep,ASIA
390,phnom penh,ASIA
391,st. louis,NORTH AMERICA
392,mogadishu,AFRICA
393,lishui,ASIA
394,kowloon,ASIA
395,córdoba,SOUTH AMERICA
396,zamboanga city,ASIA
397,rawalpindi,ASIA
398,havana,NORTH AMERICA
399,chongzuo,ASIA
400,portland,NORTH AMERICA
401,laibin,ASIA
402,san antonio,NORTH AMERICA
403,vadodara,ASIA
404,qingyang,ASIA
405,rājkot,ASIA
406,shangzhou,ASIA
407,vishākhapatnam,ASIA
408,shengli,ASIA
409,sanmenxia,ASIA
410,warsaw,EUROPE
411,gujranwala,ASIA
412,hezhou,ASIA
413,aleppo,ASIA
414,tijuana,NORTH AMERICA
415,puning,ASIA
416,indore,ASIA
417,minsk,EUROPE
418,karaj,ASIA
419,kananga,AFRICA
420,huaibei,ASIA
421,peshawar,ASIA
422,sacramento,NORTH AMERICA
423,sapporo,ASIA
424,tilburg,EUROPE
425,austin,NORTH AMERICA
426,orlando,NORTH AMERICA
427,davao,ASIA
428,songjiang,ASIA
429,yinchuan,ASIA
430,abhepur,ASIA
431,thāne,ASIA
432,multan,ASIA
433,port harcourt,AFRICA
434,fushun,ASIA
435,tainan,ASIA
436,pingliang,ASIA
437,siping,ASIA
438,san juan,NORTH AMERICA
439,pingxiang,ASIA
440,bhopāl,ASIA
441,mosul,ASIA
442,diyarbakır,ASIA
443,lubumbashi,AFRICA
444,benin city,AFRICA
445,curitiba,SOUTH AMERICA
446,san jose,NORTH AMERICA
447,shuyangzha,ASIA
448,adana,ASIA
449,quito,SOUTH AMERICA
450,āgra,ASIA
451,peyanvilai,ASIA
452,lusaka,AFRICA
453,indianapolis,NORTH AMERICA
454,hyderabad city,ASIA
455,pimpri-chinchwad,ASIA
456,maracay,SOUTH AMERICA
457,masqaţ,ASIA
458,montevideo,SOUTH AMERICA
459,pittsburgh,NORTH AMERICA
460,cincinnati,NORTH AMERICA
461,manhattan,NORTH AMERICA
462,kansas city,NORTH AMERICA
463,budapest,EUROPE
464,patna,ASIA
465,kampala,AFRICA
466,beihai,ASIA
467,sanzhou,ASIA
468,cleveland,NORTH AMERICA
469,conakry,AFRICA
470,ximeicun,ASIA
471,caloocan city,ASIA
472,ecatepec,NORTH AMERICA
473,yushan,ASIA
474,fuxin,ASIA
475,novosibirsk,EUROPE
476,bilāspur,ASIA
477,semarang,ASIA
478,jingdezhen,ASIA
479,ludhiāna,ASIA
480,liaoyang,ASIA
481,jiangyin,ASIA
482,valencia,EUROPE
483,shuozhou,ASIA
484,león de los aldama,NORTH AMERICA
485,columbus,NORTH AMERICA
486,puebla,NORTH AMERICA
487,biên hòa,ASIA
488,chengtangcun,ASIA
489,yopougon,AFRICA
490,hebi,ASIA
491,shīrāz,ASIA
492,dushanbe,ASIA
493,madurai,ASIA
494,huzhou,ASIA
495,harare,AFRICA
496,tabrīz,ASIA
497,jamshedpur,ASIA
498,baicheng,ASIA
499,san josé,NORTH AMERICA
500,shaoyang,ASIA
501,san salvador,NORTH AMERICA
502,palembang,ASIA
503,kawasaki,ASIA
504,kōbe,ASIA
505,jiaxing,ASIA
506,zhangjiajie,ASIA
507,baiyin,ASIA
508,guiping,ASIA
509,changshu,ASIA
510,jixi,ASIA
511,xushan,ASIA
512,lomé,AFRICA
513,niamey,AFRICA
514,gwangju,ASIA
515,recife,SOUTH AMERICA
516,nāsik,ASIA
517,abu dhabi,ASIA
518,onitsha,AFRICA
519,amsterdam,EUROPE
520,vijayavāda,ASIA
521,zapopan,NORTH AMERICA
522,daejeon,ASIA
523,bronx,NORTH AMERICA
524,auckland,OCEANIA
525,yekaterinburg,EUROPE
526,wuwei,ASIA
527,jinhua,ASIA
528,kyōto,ASIA
529,pizhou,ASIA
530,yangshe,ASIA
531,dakar,AFRICA
532,charlotte,NORTH AMERICA
533,yucheng,ASIA
534,kayseri,ASIA
535,virginia beach,NORTH AMERICA
536,rui’an,ASIA
537,muscat,ASIA
538,kharkiv,EUROPE
539,pointe-noire,AFRICA
540,medina,ASIA
541,sangereng,ASIA
542,farīdābād,ASIA
543,sofia,EUROPE
544,ulaanbaatar,ASIA
545,adelaide,OCEANIA
546,prague,EUROPE
547,wenling,ASIA
548,copenhagen,EUROPE
549,najafgarh,ASIA
550,lianjiang,ASIA
551,helsinki,EUROPE
552,samsun,ASIA
553,milan,EUROPE
554,antalya,ASIA
555,santiago,NORTH AMERICA
556,chizhou,ASIA
557,makassar,ASIA
558,porto alegre,SOUTH AMERICA
559,huangshan,ASIA
560,gaozhou,ASIA
561,barranquilla,SOUTH AMERICA
562,al başrah,ASIA
563,benxi,ASIA
564,saitama,ASIA
565,ahvāz,ASIA
566,guarulhos,SOUTH AMERICA
567,leizhou,ASIA
568,juárez,NORTH AMERICA
569,mandalay,ASIA
570,yangquan,ASIA
571,fuqing,ASIA
572,xintai,ASIA
573,wusong,ASIA
574,tongling,ASIA
575,calgary,NORTH AMERICA
576,meerut,ASIA
577,jacksonville,NORTH AMERICA
578,kuaidamao,ASIA
579,huazhou,ASIA
580,milwaukee,NORTH AMERICA
581,wuzhong,ASIA
582,belém,SOUTH AMERICA
583,cacuaco,AFRICA
584,rosario,SOUTH AMERICA
585,tangier,AFRICA
586,antananarivo,AFRICA
587,canagatan,ASIA
588,soweto,AFRICA
589,providence,NORTH AMERICA
590,xiantao,ASIA
591,jabalpur,ASIA
592,huaiyin,ASIA
593,yutan,ASIA
594,kazan,EUROPE
595,bagam,ASIA
596,dayan,ASIA
597,comayagüela,NORTH AMERICA
598,brussels,EUROPE
599,laiwu,ASIA
600,huazhou,ASIA
601,sharjah,ASIA
602,kalyān,ASIA
603,rucheng,ASIA
604,barquisimeto,SOUTH AMERICA
605,yongcheng,ASIA
606,sumedang,ASIA
607,cần thơ,ASIA
608,suwon,ASIA
609,yiwu,ASIA
610,vasai-virar,ASIA
611,campinas,SOUTH AMERICA
612,dadukou,ASIA
613,lingcheng,ASIA
614,shuangyashan,ASIA
615,nizhniy novgorod,EUROPE
616,pānīpat,ASIA
617,qom,ASIA
618,mombasa,AFRICA
619,hargeysa,AFRICA
620,baidoa,AFRICA
621,vārānasi,ASIA
622,hiroshima,ASIA
623,chiang mai,ASIA
624,belgrade,EUROPE
625,maiduguri,AFRICA
626,kalleli,ASIA
627,batam centre,ASIA
628,pingdu,ASIA
629,rongcheng,ASIA
630,mbandaka,AFRICA
631,xinyu,ASIA
632,doha,ASIA
633,shymkent,ASIA
634,tripoli,AFRICA
635,srīnagar,ASIA
636,nashville,NORTH AMERICA
637,chelyabinsk,EUROPE
638,aurangābād,ASIA
639,cilacap,ASIA
640,xinhualu,ASIA
641,salt lake city,NORTH AMERICA
642,guankou,ASIA
643,bandar lampung,ASIA
644,dhanbād,ASIA
645,nay pyi taw,ASIA
646,aba,AFRICA
647,jingling,ASIA
648,zhuji,ASIA
649,tegucigalpa,NORTH AMERICA
650,kigali,AFRICA
651,samara,EUROPE
652,yingtan,ASIA
653,edmonton,NORTH AMERICA
654,raleigh,NORTH AMERICA
655,bishkek,ASIA
656,bujumbura,AFRICA
657,guyuan,ASIA
658,leiyang,ASIA
659,krasnodar,EUROPE
660,rostov,EUROPE
661,maputo,AFRICA
662,bukavu,AFRICA
663,amritsar,ASIA
664,shagamu,AFRICA
665,alīgarh,ASIA
666,zhangye,ASIA
667,ufa,EUROPE
668,santo domingo,NORTH AMERICA
669,ulsan,ASIA
670,rongcheng,ASIA
671,tbilisi,ASIA
672,guwāhāti,ASIA
673,fès,AFRICA
674,yingchuan,ASIA
675,ninh bình,ASIA
676,yerevan,ASIA
677,mwanza,AFRICA
678,omsk,EUROPE
679,mexicali,NORTH AMERICA
680,sevilla,EUROPE
681,ikare,AFRICA
682,dingzhou,ASIA
683,tamale,AFRICA
684,yuyao,ASIA
685,goiânia,SOUTH AMERICA
686,krasnoyarsk,EUROPE
687,cologne,EUROPE
688,ubungo,AFRICA
689,yicheng,ASIA
690,richmond,NORTH AMERICA
691,kisangani,AFRICA
692,ezhou,ASIA
693,astana,ASIA
694,zhufeng,ASIA
695,nezahualcóyotl,NORTH AMERICA
696,nouakchott,AFRICA
697,hāora,ASIA
698,tongjin,ASIA
699,rānchi,ASIA
700,ciudad nezahualcóyotl,NORTH AMERICA
701,gwalior,ASIA
702,ottawa,NORTH AMERICA
703,haicheng,ASIA
704,jianguang,ASIA
705,goyang,ASIA
706,sendai,ASIA
707,xibeijie,ASIA
708,chandīgarh,ASIA
709,voronezh,EUROPE
710,managua,NORTH AMERICA
711,zhongwei,ASIA
712,jiancheng,ASIA
713,mersin,ASIA
714,shouguang,ASIA
715,liangshi,ASIA
716,são luís,SOUTH AMERICA
717,jodhpur,ASIA
718,memphis,NORTH AMERICA
719,matola,AFRICA
720,ogbomoso,AFRICA
721,sanya,ASIA
722,rangapukur,ASIA
723,ashgabat,ASIA
724,enugu,AFRICA
725,linhai,ASIA
726,perm,EUROPE
727,shubrā al khaymah,AFRICA
728,monrovia,AFRICA
729,islamabad,ASIA
730,xinyi,ASIA
731,thủ đức,ASIA
732,āqchah,ASIA
733,odesa,EUROPE
734,raipur,ASIA
735,namangan,ASIA
736,changwon,ASIA
737,arequipa,SOUTH AMERICA
738,tshikapa,AFRICA
739,volgograd,EUROPE
740,morelia,NORTH AMERICA
741,kota,ASIA
742,quetta,ASIA
743,oklahoma city,NORTH AMERICA
744,domaa-ahenkro,AFRICA
745,bareilly,ASIA
746,liaoyuan,ASIA
747,stockholm,EUROPE
748,bordeaux,EUROPE
749,taixing,ASIA
750,lilongwe,AFRICA
751,port-au-prince,NORTH AMERICA
752,esenyurt,ASIA
753,pekanbaru,ASIA
754,bogor,ASIA
755,ciudad guayana,SOUTH AMERICA
756,chiba,ASIA
757,kirkuk,ASIA
758,shuizhai,ASIA
759,qianxi,ASIA
760,hartford,NORTH AMERICA
761,dnipro,EUROPE
762,baishan,ASIA
763,nārāyanganj,ASIA
764,gqeberha,AFRICA
765,huilong,ASIA
766,málaga,EUROPE
767,marrakech,AFRICA
768,louisville,NORTH AMERICA
769,cebu city,ASIA
770,asmara,AFRICA
771,coimbatore,ASIA
772,maceió,SOUTH AMERICA
773,nada,ASIA
774,fangchenggang,ASIA
775,solāpur,ASIA
776,freetown,AFRICA
777,kaiyuan,ASIA
778,buffalo,NORTH AMERICA
779,santo domingo este,NORTH AMERICA
780,vientiane,ASIA
781,kermānshāh,ASIA
782,kibanseke première,AFRICA
783,seberang jaya,ASIA
784,sale,AFRICA
785,hubli,ASIA
786,el alto,SOUTH AMERICA
787,çankaya,ASIA
788,hwasu-dong,ASIA
789,yingcheng,ASIA
790,fort worth,NORTH AMERICA
791,setagaya,ASIA
792,keçiören,ASIA
793,luocheng,ASIA
794,jerusalem,ASIA
795,khartoum north,AFRICA
796,meishan,ASIA
797,mushin,AFRICA
798,trujillo,SOUTH AMERICA
799,kitakyūshū,ASIA
800,aguascalientes,NORTH AMERICA
801,khulna,ASIA
802,chihuahua,NORTH AMERICA
803,bridgeport,NORTH AMERICA
804,xin’an,ASIA
805,mysore,ASIA
806,kashgar,ASIA
807,sŏngnam,ASIA
808,new orleans,NORTH AMERICA
809,trichinopoly,ASIA
810,cartagena,SOUTH AMERICA
811,qingzhou,ASIA
812,naples,EUROPE
813,santiago del estero,SOUTH AMERICA
814,naucalpan de juárez,NORTH AMERICA
815,masbate,ASIA
816,owerri,AFRICA
817,taishan,ASIA
818,jiaozhou,ASIA
819,wuchuan,ASIA
820,wafangdian,ASIA
821,la plata,SOUTH AMERICA
822,bobo-dioulasso,AFRICA
823,ad dammām,ASIA
824,hanchuan,ASIA
825,quzhou,ASIA
826,donetsk,EUROPE
827,ashmūn,AFRICA
828,bunia,AFRICA
829,wuchang,ASIA
830,são gonçalo,SOUTH AMERICA
831,hengzhou,ASIA
832,feicheng,ASIA
833,bucaramanga,SOUTH AMERICA
834,cazenga,AFRICA
835,mérida,NORTH AMERICA
836,hegang,ASIA
837,osmangazi,ASIA
838,morādābād,ASIA
839,bangui,AFRICA
840,abeokuta,AFRICA
841,cancún,NORTH AMERICA
842,zaoyang,ASIA
843,dongtai,ASIA
844,antipolo,ASIA
845,taguig city,ASIA
846,tabūk,ASIA
847,xishan,ASIA
848,zhoushan,ASIA
849,panama city,NORTH AMERICA
850,tucson,NORTH AMERICA
851,yichun,ASIA
852,as sulaymānīyah,ASIA
853,klang,ASIA
854,tiruppūr,ASIA
855,marseille,EUROPE
856,gurgaon,ASIA
857,yangchun,ASIA
858,ar ramādī,ASIA
859,hai’an,ASIA
860,jalandhar,ASIA
861,daye,ASIA
862,zhongxiang,ASIA
863,gaomi,ASIA
864,teresina,SOUTH AMERICA
865,lhasa,ASIA
866,ipoh,ASIA
867,saltillo,NORTH AMERICA
868,aden,ASIA
869,el paso,NORTH AMERICA
870,gongzhuling,ASIA
871,lianyuan,ASIA
872,ikeja,AFRICA
873,tyumen,EUROPE
874,cochabamba,SOUTH AMERICA
875,portsmouth,EUROPE
876,southampton,EUROPE
877,hermosillo,NORTH AMERICA
878,cheongju,ASIA
879,shache,ASIA
880,thanh hóa,ASIA
881,macheng,ASIA
882,akure,AFRICA
883,ilorin,AFRICA
884,erbil,ASIA
885,kathmandu,ASIA
886,turin,EUROPE
887,anqiu,ASIA
888,yuci,ASIA
889,dehui,ASIA
890,pietermaritzburg,AFRICA
891,durban,AFRICA
892,saratov,EUROPE
893,bhubaneshwar,ASIA
894,yushu,ASIA
895,joão pessoa,SOUTH AMERICA
896,samarinda,ASIA
897,omaha,NORTH AMERICA
898,qingping,ASIA
899,rongjiawan,ASIA
900,weichanglu,ASIA
901,sakai,ASIA
902,eskişehir,ASIA
903,renqiu,ASIA
904,wutong,ASIA
905,barcelona,SOUTH AMERICA
906,wu’an,ASIA
907,são bernardo do campo,SOUTH AMERICA
908,mcallen,NORTH AMERICA
909,narela,ASIA
910,bhayandar,ASIA
911,culiacán,NORTH AMERICA
912,n’djamena,AFRICA
913,xiashi,ASIA
914,cúcuta,SOUTH AMERICA
915,danyang,ASIA
916,dongyang,ASIA
917,kraków,EUROPE
918,oran,AFRICA
919,pasig city,ASIA
920,thessaloníki,EUROPE
921,blantyre,AFRICA
922,palermo,SOUTH AMERICA
923,qamdo,ASIA
924,karīmnagar,ASIA
925,libreville,AFRICA
926,hejian,ASIA
927,seyhan,ASIA
928,laiyang,ASIA
929,querétaro,NORTH AMERICA
930,wuxi,ASIA
931,yiyang,ASIA
932,niigata,ASIA
933,vinh,ASIA
934,puxi,ASIA
935,hempstead,NORTH AMERICA
936,hamamatsu,ASIA
937,zijinglu,ASIA
938,kumila,ASIA
939,xingyi,ASIA
940,xingcheng,ASIA
941,birmingham,NORTH AMERICA
942,ailan mubage,ASIA
943,lubango,AFRICA
944,frankfurt,EUROPE
945,homs,ASIA
946,bilbao,EUROPE
947,san luis potosí,NORTH AMERICA
948,bucheon,ASIA
949,fuyang,ASIA
950,korla,ASIA
951,khŭjand,ASIA
952,hamhŭng,ASIA
953,erzurum,ASIA
954,albuquerque,NORTH AMERICA
955,zagreb,EUROPE
956,al ‘ayn,ASIA
957,dodoma,AFRICA
958,pikine,AFRICA
959,patiāla,ASIA
960,bahawalpur,ASIA
961,qingnian,ASIA
962,sanhe,ASIA
963,kaduna,AFRICA
964,winnipeg,NORTH AMERICA
965,baardheere,AFRICA
966,shīshgarh,ASIA
967,leping,ASIA
968,colombo,ASIA
969,nerima,ASIA
970,natal,SOUTH AMERICA
971,lichuan,ASIA
972,pendik,ASIA
973,gdańsk,EUROPE
974,licheng,ASIA
975,santo andré,SOUTH AMERICA
976,andijon,ASIA
977,gaalkacyo,AFRICA
978,ōta-ku,ASIA
979,thiruvananthapuram,ASIA
980,nampula,AFRICA
981,zhuanghe,ASIA
982,kyaukse,ASIA
983,tulsa,NORTH AMERICA
984,chengguan,ASIA
985,bağcılar,ASIA
986,bouaké,AFRICA
987,cabinda,AFRICA
988,kumamoto,ASIA
989,kermān,ASIA
990,lingbao chengguanzhen,ASIA
991,orūmīyeh,ASIA
992,quebec city,NORTH AMERICA
993,taihe,ASIA
994,yanggok,ASIA
995,zhongba,ASIA
996,osogbo,AFRICA
997,sizhan,ASIA
998,suohe,ASIA
999,xiangxiang,ASIA
1000,hamilton,NORTH AMERICA
1001,songyang,ASIA
1002,cagayan de oro,ASIA
1003,qian’an,ASIA
1004,shuangqiao,ASIA
1005,chaohucun,ASIA
1006,manama,ASIA
1007,zouping,ASIA
1008,charleston,NORTH AMERICA
1009,uvira,AFRICA
1010,durgāpur,ASIA
1011,an najaf,ASIA
1012,fresno,NORTH AMERICA
1013,cencheng,ASIA
1014,umraniye,ASIA
1015,sorocaba,SOUTH AMERICA
1016,guli,ASIA
1017,sagamihara,ASIA
1018,laixi,ASIA
1019,okayama,ASIA
1020,concepción,SOUTH AMERICA
1021,san pedro sula,NORTH AMERICA
1022,mississauga,NORTH AMERICA
1023,changsha,ASIA
1024,lviv,EUROPE
1025,shihezi,ASIA
1026,valenzuela,ASIA
1027,huambo,AFRICA
1028,xichang,ASIA
1029,guangshui,ASIA
1030,zaporizhzhia,EUROPE
1031,bhiwandi,ASIA
1032,gaoyou,ASIA
1033,chengxiang,ASIA
1034,bhīlwāra,ASIA
1035,oslo,EUROPE
1036,george town,ASIA
1037,bristol,EUROPE
1038,zunhua,ASIA
1039,sahāranpur,ASIA
1040,yenimahalle,ASIA
1041,warangal,ASIA
1042,nampo,ASIA
1043,dasmariñas,ASIA
1044,shiliguri,ASIA
1045,boosaaso,AFRICA
1046,parachinar,ASIA
1047,latakia,ASIA
1048,tongchuan,ASIA
1049,xindi,ASIA
1050,edogawa,ASIA
1051,general santos,ASIA
1052,ḩamāh,ASIA
1053,rochester,NORTH AMERICA
1054,bauchi,AFRICA
1055,salem,ASIA
1056,sinnūris,AFRICA
1057,cocody,AFRICA
1058,lokoja,AFRICA
